eval,score,512,1024,2048,ave_time_per_step
random_heuristic,604,0,0,0,0.00752481392451695
random_heuristic,796,0,0,0,0.00724981239487453
random_heuristic,820,0,0,0,0.0066971216403262715
random_heuristic,696,0,0,0,0.006915096282958984
random_heuristic,416,0,0,0,0.006967318515476201
random_heuristic,908,0,0,0,0.006938394860944886
random_heuristic,716,0,0,0,0.006980706144262243
random_heuristic,1200,0,0,0,0.006997534861931434
random_heuristic,608,0,0,0,0.007098287932410335
random_heuristic,944,0,0,0,0.006965306750068429
random_heuristic,1408,0,0,0,0.006739001188959394
random_heuristic,436,0,0,0,0.006762518259040414
random_heuristic,1144,0,0,0,0.006642056896781338
random_heuristic,1324,0,0,0,0.006526573521088958
random_heuristic,668,0,0,0,0.006574875233220119
random_heuristic,1024,0,0,0,0.006614692613600522
random_heuristic,668,0,0,0,0.00659493834986163
random_heuristic,1004,0,0,0,0.0066086526921604015
random_heuristic,476,0,0,0,0.006700016757634681
random_heuristic,1384,0,0,0,0.006652833196541198
random_heuristic,1352,0,0,0,0.006662527175052121
random_heuristic,2276,0,0,0,0.006562517486707243
random_heuristic,896,0,0,0,0.006588080598613787
random_heuristic,1468,0,0,0,0.006557761445233887
random_heuristic,1072,0,0,0,0.00660118614543568
random_heuristic,364,0,0,0,0.006611277454688456
random_heuristic,560,0,0,0,0.006634201699676936
random_heuristic,1140,0,0,0,0.006652245776852302
random_heuristic,596,0,0,0,0.006668367095373702
random_heuristic,428,0,0,0,0.006682074870748967
random_heuristic,708,0,0,0,0.006722158301760328
random_heuristic,560,0,0,0,0.006735325934868295
random_heuristic,964,0,0,0,0.0067400204603130075
random_heuristic,1212,0,0,0,0.006733769356565696
random_heuristic,944,0,0,0,0.006727758066250327
random_heuristic,1128,0,0,0,0.006721480502492062
random_heuristic,592,0,0,0,0.00673830351803607
random_heuristic,1312,0,0,0,0.006723013152733363
random_heuristic,1588,0,0,0,0.0066592358455222905
random_heuristic,1436,0,0,0,0.006621993945144098
random_heuristic,2488,0,0,0,0.00660529449060988
random_heuristic,468,0,0,0,0.006608414431612303
random_heuristic,1280,0,0,0,0.0066025256099490615
random_heuristic,1088,0,0,0,0.006572446870497852
random_heuristic,716,0,0,0,0.00657239157698182
random_heuristic,536,0,0,0,0.0066023486014772145
random_heuristic,1064,0,0,0,0.006609060979532329
random_heuristic,576,0,0,0,0.006618241056100142
random_heuristic,532,0,0,0,0.006629931084930489
random_heuristic,1388,0,0,0,0.00663772765289053
score_heuristic,7084,1,0,0,0.0066441016748917
score_heuristic,15100,3,1,0,0.0062495400739270585
score_heuristic,3128,0,0,0,0.006342875576722242
score_heuristic,12052,2,1,0,0.006326572929721699
score_heuristic,3108,0,0,0,0.006440057001132267
score_heuristic,6464,1,0,0,0.006489485031680057
score_heuristic,16088,3,1,0,0.006361520774868105
score_heuristic,7120,1,0,0,0.00644818828092607
score_heuristic,14328,3,1,0,0.006409477089521524
score_heuristic,7004,1,0,0,0.00643750696816712
score_heuristic,6936,1,0,0,0.006447150218660327
score_heuristic,7048,1,0,0,0.006459478779320908
score_heuristic,12064,2,1,0,0.0064819826363780066
score_heuristic,7340,1,0,0,0.006522564256380379
score_heuristic,13860,3,1,0,0.006506499681933263
score_heuristic,7136,1,0,0,0.006524626615964927
score_heuristic,15872,3,1,0,0.006492340085819671
score_heuristic,11812,2,1,0,0.006478791936720751
score_heuristic,7140,1,0,0,0.006476027468198463
score_heuristic,7080,1,0,0,0.006489286353141853
score_heuristic,5500,1,0,0,0.006524680595034286
score_heuristic,7064,1,0,0,0.006514467075208
score_heuristic,7072,1,0,0,0.00652048935398295
score_heuristic,12088,2,1,0,0.006502387652107183
