agent,eval,depth,score
MiniMaxAgent,random_heuristic,2,1236
MiniMaxAgent,random_heuristic,2,3144
MiniMaxAgent,random_heuristic,2,2440
MiniMaxAgent,random_heuristic,2,408
MiniMaxAgent,random_heuristic,2,1708
MiniMaxAgent,random_heuristic,2,1496
MiniMaxAgent,random_heuristic,2,660
MiniMaxAgent,random_heuristic,2,2708
MiniMaxAgent,random_heuristic,2,2060
MiniMaxAgent,random_heuristic,2,764
MiniMaxAgent,random_heuristic,2,1572
MiniMaxAgent,random_heuristic,2,704
MiniMaxAgent,random_heuristic,2,1324
MiniMaxAgent,random_heuristic,2,1488
MiniMaxAgent,random_heuristic,2,584
MiniMaxAgent,random_heuristic,2,596
MiniMaxAgent,random_heuristic,2,1632
MiniMaxAgent,random_heuristic,2,1296
MiniMaxAgent,random_heuristic,2,1424
MiniMaxAgent,random_heuristic,2,2324
MiniMaxAgent,random_heuristic,2,1408
MiniMaxAgent,random_heuristic,2,1104
MiniMaxAgent,random_heuristic,2,1016
MiniMaxAgent,random_heuristic,2,1408
MiniMaxAgent,random_heuristic,2,628
MiniMaxAgent,random_heuristic,2,552
MiniMaxAgent,random_heuristic,2,824
MiniMaxAgent,random_heuristic,2,1060
MiniMaxAgent,random_heuristic,2,1264
MiniMaxAgent,random_heuristic,2,2240
MiniMaxAgent,random_heuristic,2,1280
MiniMaxAgent,random_heuristic,2,732
MiniMaxAgent,random_heuristic,2,1256
MiniMaxAgent,random_heuristic,2,1068
MiniMaxAgent,random_heuristic,2,2620
MiniMaxAgent,random_heuristic,2,3216
MiniMaxAgent,random_heuristic,2,596
MiniMaxAgent,random_heuristic,2,1532
MiniMaxAgent,random_heuristic,2,1120
MiniMaxAgent,random_heuristic,2,2440
MiniMaxAgent,random_heuristic,2,1392
MiniMaxAgent,random_heuristic,2,1292
MiniMaxAgent,random_heuristic,2,1136
MiniMaxAgent,random_heuristic,2,1584
MiniMaxAgent,random_heuristic,2,612
MiniMaxAgent,random_heuristic,2,1344
MiniMaxAgent,random_heuristic,2,1084
MiniMaxAgent,random_heuristic,2,2908
MiniMaxAgent,random_heuristic,2,1076
